	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0156733120977078	0.984448875066269	0.0123114474674269	-1.27306818626937	0.202993846906843	0.96097843951535	1.00849254027802
BRCA	-0.0239861219628354	0.976299258781289	0.0192424792103994	-1.24651931284782	0.212573803457468	0.94016424694566	1.01382311207159
CESC	-0.0104216873423036	0.989632430279091	0.0231000580078511	-0.451154163282254	0.651878442873381	0.945825706903827	1.03546809936694
CHOL	0.446092247887003	1.5621955691274	0.262911408678296	1.69673978824118	0.0897458667839737	0.933135699684599	2.6153270065931
COAD	0.0148354448450966	1.01494603627119	0.0198721517491576	0.746544462439782	0.455338583203148	0.976175144947063	1.05525679676926
ESCA	-0.022051143051755	0.978190206139567	0.0243080512278306	-0.907153882681814	0.364325427375572	0.932679131310355	1.02592204249606
GBM	-0.00917815592701679	0.990863834782138	0.0234650137123922	-0.391142150586926	0.695692165802807	0.946325453700092	1.03749839470166
HNSC	-0.00885050050230334	0.991188549887185	0.0120667397977136	-0.733462447245307	0.463276423742092	0.968021601924708	1.01490993535067
KICH	-0.430467141717553	0.650205285753971	0.207285895685028	-2.07668322195761	0.0378308061465401	0.433120182496368	0.976096083044912
KIRC	-0.0555032420659829	0.946008956642005	0.0157853518691408	-3.51612320878876	0.00043789772141173	0.917188777930002	0.975734731585644
KIRP	-0.107579288908759	0.898005317766263	0.0254451327056522	-4.22789262501518	2.35890309837937e-05	0.85431881721628	0.943925773944805
LIHC	-0.0196791245648585	0.980513245449115	0.0139322649728904	-1.41248566569401	0.157807008417191	0.954100886444746	1.00765677734944
LUAD	-0.0155636976243894	0.984556790825674	0.0134732619963811	-1.15515438121591	0.248027212077154	0.958897774329455	1.01090241349116
LUSC	-0.00188731548954852	0.998114464370435	0.0125929770297666	-0.149870478210783	0.880866803589394	0.973780756253994	1.02305624504006
PAAD	-0.00761230977249299	0.992416590478493	0.0181063766159506	-0.420421486526853	0.674177574366942	0.957815454460765	1.02826769443957
PCPG	0.151944065523716	1.16409512156008	0.167716645031599	0.90595698175985	0.364958622223271	0.837968709793197	1.61714564780635
PRAD	-0.0545530586262836	0.946908265873121	0.054386427490162	-1.00306383676611	0.315830061657511	0.851165665531617	1.05342038605237
READ	-0.0160659905036333	0.984062379140561	0.0379028782864667	-0.423872571951077	0.671658748216522	0.913607467088764	1.05995058153974
SARC	-0.0152830410118403	0.984833151978928	0.0185129420465432	-0.825532806909748	0.409069165059325	0.949739311804867	1.02122374548609
STAD	-0.0047033603457057	0.995307683132961	0.0160133175870915	-0.293715547707436	0.768975272725806	0.964554554190323	1.02704132161304
THCA	-0.0630194674302125	0.938925195050505	0.0543745989330171	-1.15898725998595	0.24646137810635	0.84400933585082	1.04451513088055
THYM	0.0227700832703171	1.02303130049458	0.0749772839059497	0.303693093215801	0.761361720453735	0.88321846844855	1.18497640072005
UCEC	-0.00324085515066434	0.996764390751789	0.0173807779225711	-0.186462030934513	0.852082451585455	0.96338076194556	1.03130484842184
