	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0202642718579566	1.02047098615875	0.0132988318081654	1.52376330118819	0.127567850126659	0.994215833555508	1.04741948221414
BRCA	0.0227989671021831	1.02306084998541	0.026760004240705	0.851979203631938	0.394225634646692	0.970785562072652	1.07815108059316
CESC	0.0502095696119729	1.05149143393899	0.0238566447462092	2.10463668072817	0.0353229461126282	1.0034573680743	1.10182482168511
CHOL	0.023132892784083	1.02340253332261	0.0415001285652304	0.557417376375652	0.577242296037076	0.943455703352559	1.11012392154649
COAD	-0.00804557898214448	0.991986700062557	0.0216614439746953	-0.371423945307766	0.710321793338736	0.950752760172052	1.03500894693477
ESCA	0.0425455413222488	1.04346357600259	0.0356798919573736	1.19242349088606	0.233095233909607	0.972985828270294	1.11904634456981
GBM	0.00363122790545658	1.00363782880087	0.0175896407623155	0.206441277256567	0.836446230584518	0.969626983545878	1.03884164580128
HNSC	0.0316741257641498	1.03218108926971	0.0271854864677505	1.16511160474263	0.2439738200588	0.978623341368272	1.08866992642584
KICH	0.0481511666987912	1.049329266977	0.0608042993150268	0.791903981153046	0.428416665452624	0.931440403490135	1.1821388748101
KIRC	0.0522490118943046	1.05363807826343	0.0138324886332963	3.77726765439269	0.000158558307361587	1.02545645186342	1.0825941930048
KIRP	0.0665776574736983	1.06884396457439	0.0256843151146537	2.59215233797352	0.00953775274427432	1.01636986664387	1.1240272445104
LIHC	0.0210542266103253	1.02127743054927	0.0153157597415918	1.37467725829819	0.169231524750255	0.991075946979143	1.05239925691716
LUAD	0.0380553621720834	1.03878874088763	0.0195405877612771	1.94750345470653	0.0514744059802617	0.999756543563565	1.07934482163887
LUSC	0.0131090623190873	1.01319536277021	0.0233861430811808	0.560548281671824	0.57510551681332	0.967802795751377	1.06071696387491
PAAD	0.178565672969886	1.19550139282244	0.0505414207558501	3.53305606172967	0.000410785352741558	1.08275239011732	1.31999115705996
PCPG	0.0665431359199462	1.0688070670569	0.105301282978349	0.631930913259891	0.527432022303447	0.869494225621261	1.31380808857535
PRAD	0.0391448214227551	1.03992107559515	0.0692341383156884	0.565397683499224	0.571803299845717	0.907963048969281	1.19105710821009
READ	-0.0254185524993271	0.974901779045533	0.0441730817416017	-0.575430816623063	0.564999967534829	0.89404765326659	1.0630680314562
SARC	0.0215912122983275	1.02182598918384	0.017576401504912	1.22842052124796	0.21928914824716	0.987224408033847	1.05764033351953
STAD	0.0343804437933478	1.03497828290152	0.01919360771726	1.79124447575486	0.0732540719202835	0.99676690168897	1.07465450975822
THCA	0.0858202037629618	1.08961040284206	0.047861536378391	1.79309337428016	0.0729579949120232	0.99204512503683	1.19677099359523
THYM	-0.0728472522427485	0.929742835312937	0.0922681294045525	-0.789516951442111	0.429809926158971	0.775932720614574	1.11404212871842
UCEC	-0.00598474723170727	0.994033125695248	0.0171407645204444	-0.34915287614908	0.726974541925261	0.961193028211537	1.02799523714607
